timestep,episode,return,length
50,1,-16.876797,50
100,2,-11.357931,50
150,3,-16.509203,50
200,4,-9.363111,50
250,5,-10.83985,50
300,6,-14.98737,50
350,7,-14.902664,50
400,8,-10.899997,50
450,9,-9.261403,50
500,10,-12.589812,50
550,11,-13.032969,50
600,12,-12.326305,50
650,13,-12.652525,50
700,14,-16.25551,50
750,15,-16.834425,50
800,16,-14.07425,50
850,17,-14.56213,50
900,18,-8.797257,50
950,19,-12.33307,50
1000,20,-10.539747,50
1050,21,-16.947569,50
1100,22,-17.260006,50
1150,23,-13.136738,50
1200,24,-11.327317,50
1250,25,-12.40104,50
1300,26,-8.922518,50
1350,27,-10.588414,50
1400,28,-11.45189,50
1450,29,-6.870032,50
1500,30,-5.51121,50
1550,31,-9.78647,50
1600,32,-8.507405,50
1650,33,-12.454494,50
1700,34,-12.209648,50
1750,35,-8.445527,50
1800,36,-12.347239,50
1850,37,-13.76056,50
1900,38,-10.987556,50
1950,39,-9.668544,50
2000,40,-9.896781,50
2050,41,-11.429141,50
2100,42,-9.508622,50
2150,43,-8.916729,50
2200,44,-6.540972,50
2250,45,-10.67705,50
2300,46,-10.753009,50
2350,47,-6.37155,50
2400,48,-10.489472,50
2450,49,-10.066551,50
2500,50,-5.448055,50
2550,51,-9.84995,50
2600,52,-4.380342,50
2650,53,-11.827911,50
2700,54,-6.199552,50
2750,55,-6.550818,50
2800,56,-8.908157,50
2850,57,-4.903593,50
2900,58,-8.59618,50
2950,59,-2.918116,50
3000,60,-4.025269,50
3050,61,-10.19955,50
3100,62,-6.529603,50
3150,63,-9.480837,50
3200,64,-9.115429,50
3250,65,-8.398664,50
3300,66,-10.463313,50
3350,67,-11.163478,50
3400,68,-5.386486,50
3450,69,-6.773705,50
3500,70,-10.752734,50
3550,71,-9.475389,50
3600,72,-7.690038,50
3650,73,-6.220188,50
3700,74,-10.131212,50
3750,75,-8.641195,50
3800,76,-11.431426,50
3850,77,-1.419145,50
3900,78,-10.823949,50
3950,79,-8.715605,50
4000,80,-1.487108,50
4050,81,-8.104611,50
4100,82,-8.325204,50
4150,83,-8.651421,50
4200,84,-8.462926,50
4250,85,-6.331138,50
4300,86,-2.097396,50
4350,87,-11.288039,50
4400,88,-2.718084,50
4450,89,-6.593655,50
4500,90,-8.072751,50
4550,91,-8.511879,50
4600,92,-7.053578,50
4650,93,-3.118898,50
4700,94,-8.281992,50
4750,95,-8.029597,50
4800,96,-8.615471,50
4850,97,-2.986578,50
4900,98,-8.515312,50
4950,99,-4.568628,50
5000,100,-5.862954,50
5050,101,-6.22898,50
5100,102,-11.421715,50
5150,103,-7.334328,50
5200,104,-6.716255,50
5250,105,-6.197407,50
5300,106,-6.456063,50
5350,107,-6.868904,50
5400,108,-8.243764,50
5450,109,-3.797083,50
5500,110,-7.003628,50
5550,111,-5.479827,50
5600,112,-4.845946,50
5650,113,-9.631616,50
5700,114,-4.969077,50
5750,115,-7.057109,50
5800,116,-1.970459,50
5850,117,-6.363027,50
5900,118,-6.458353,50
5950,119,-9.196995,50
6000,120,-4.5114,50
6050,121,-4.186786,50
6100,122,-7.169756,50
6150,123,-6.167921,50
6200,124,-4.639267,50
6250,125,-10.664104,50
6300,126,-5.994194,50
6350,127,-6.972269,50
6400,128,-4.702294,50
6450,129,-6.714532,50
6500,130,-7.591548,50
6550,131,-5.620101,50
6600,132,-8.684523,50
6650,133,-8.139954,50
6700,134,-4.46733,50
6750,135,-4.255351,50
6800,136,-5.712035,50
6850,137,-2.935597,50
6900,138,-6.787284,50
6950,139,-9.2526,50
7000,140,-1.027202,50
7050,141,-7.328935,50
7100,142,-8.1035,50
7150,143,-4.934392,50
7200,144,-4.418999,50
7250,145,-5.842951,50
7300,146,-7.221683,50
7350,147,-6.730703,50
7400,148,-1.821053,50
7450,149,-4.842347,50
7500,150,-6.525697,50
7550,151,-4.08131,50
7600,152,-4.936995,50
7650,153,-6.46559,50
7700,154,-5.864008,50
7750,155,-5.181224,50
7800,156,-3.448421,50
7850,157,-2.014183,50
7900,158,-4.781271,50
7950,159,-5.181519,50
8000,160,-6.495271,50
8050,161,-3.903982,50
8100,162,-5.002275,50
8150,163,-7.831498,50
8200,164,-6.007705,50
8250,165,-7.135267,50
8300,166,-8.175716,50
8350,167,-4.886742,50
8400,168,-4.281094,50
8450,169,-5.617385,50
8500,170,-5.399097,50
8550,171,-6.734116,50
8600,172,-3.747556,50
8650,173,-5.945727,50
8700,174,-2.039804,50
8750,175,-3.65398,50
8800,176,-4.073695,50
8850,177,-7.180281,50
8900,178,-9.346274,50
8950,179,-5.075534,50
9000,180,-5.761792,50
9050,181,-2.690998,50
9100,182,-7.028177,50
9150,183,-2.922352,50
9200,184,-2.839824,50
9250,185,-3.888293,50
9300,186,-5.099054,50
9350,187,-5.230373,50
9400,188,-7.258655,50
9450,189,-1.992156,50
9500,190,-3.324486,50
9550,191,-3.592493,50
9600,192,-2.336966,50
9650,193,-3.690732,50
9700,194,-4.743242,50
9750,195,-5.02312,50
9800,196,-4.970413,50
9850,197,-5.078884,50
9900,198,-4.790654,50
9950,199,-3.490931,50
10000,200,-2.915539,50
10050,201,-4.90202,50
10100,202,-2.835582,50
10150,203,-1.912774,50
10200,204,-4.915605,50
10250,205,-3.082709,50
10300,206,-5.919582,50
10350,207,-3.622689,50
10400,208,-7.052445,50
10450,209,-6.427366,50
10500,210,-6.116642,50
10550,211,-5.941535,50
10600,212,-1.603495,50
10650,213,-1.348642,50
10700,214,-6.877095,50
10750,215,-3.349729,50
10800,216,-4.279551,50
10850,217,-4.920158,50
10900,218,-4.038704,50
10950,219,-1.199344,50
11000,220,-3.194277,50
11050,221,-3.437165,50
11100,222,-1.821078,50
11150,223,-3.812901,50
11200,224,-3.121052,50
11250,225,-4.140268,50
11300,226,-3.072251,50
11350,227,-6.052937,50
11400,228,-3.373053,50
11450,229,-3.591856,50
11500,230,-3.690633,50
11550,231,-3.261418,50
11600,232,-3.296873,50
11650,233,-4.243076,50
11700,234,-3.167144,50
11750,235,-1.894121,50
11800,236,-3.866586,50
11850,237,-4.222102,50
11900,238,-3.464137,50
11950,239,-2.907577,50
12000,240,-5.313314,50
12050,241,-2.887757,50
12100,242,-1.590976,50
12150,243,-1.99713,50
12200,244,-2.862681,50
12250,245,-3.921822,50
12300,246,-4.107836,50
12350,247,-3.01296,50
12400,248,-2.196508,50
12450,249,-2.823458,50
12500,250,-5.604295,50
12550,251,-4.825503,50
12600,252,-3.001771,50
12650,253,-4.108341,50
12700,254,-1.612506,50
12750,255,-2.372074,50
12800,256,-4.064961,50
12850,257,-3.81285,50
12900,258,-2.658976,50
12950,259,-4.986901,50
13000,260,-3.90872,50
13050,261,-3.525562,50
13100,262,-1.121928,50
13150,263,-6.149824,50
13200,264,-3.316073,50
13250,265,-2.615739,50
13300,266,-4.286213,50
13350,267,-3.341321,50
13400,268,-3.517097,50
13450,269,-2.370759,50
13500,270,-4.460571,50
13550,271,-1.887902,50
13600,272,-1.47791,50
13650,273,-3.222727,50
13700,274,-4.552071,50
13750,275,-3.377445,50
13800,276,-4.091563,50
13850,277,-2.087235,50
13900,278,-2.015887,50
13950,279,-4.424335,50
14000,280,-3.121564,50
14050,281,-3.3952,50
14100,282,-5.624604,50
14150,283,-2.960942,50
14200,284,-3.957532,50
14250,285,-5.737981,50
14300,286,-2.609866,50
14350,287,-3.552958,50
14400,288,-3.616876,50
14450,289,-3.224299,50
14500,290,-3.577882,50
14550,291,-2.459476,50
14600,292,-5.459213,50
14650,293,-4.025324,50
14700,294,-1.879833,50
14750,295,-2.484446,50
14800,296,-3.735334,50
14850,297,-4.934588,50
14900,298,-2.394532,50
14950,299,-6.576692,50
15000,300,-1.824391,50
15050,301,-4.96194,50
15100,302,-4.273929,50
15150,303,-6.165879,50
15200,304,-2.366315,50
15250,305,-2.638157,50
15300,306,-4.426464,50
15350,307,-3.057403,50
15400,308,-1.572153,50
15450,309,-2.486527,50
15500,310,-5.658347,50
15550,311,-5.018158,50
15600,312,-5.492717,50
15650,313,-3.451653,50
15700,314,-3.345144,50
15750,315,-3.007824,50
15800,316,-3.253615,50
15850,317,-3.638155,50
15900,318,-4.02728,50
15950,319,-5.728792,50
16000,320,-3.857485,50
16050,321,-4.420913,50
16100,322,-4.515041,50
16150,323,-2.706214,50
16200,324,-1.649515,50
16250,325,-3.960815,50
16300,326,-3.78337,50
16350,327,-4.894952,50
16400,328,-1.395048,50
16450,329,-6.227392,50
16500,330,-2.549553,50
16550,331,-2.101287,50
16600,332,-3.426232,50
16650,333,-3.203155,50
16700,334,-2.410196,50
16750,335,-6.071689,50
16800,336,-4.586793,50
16850,337,-1.710635,50
16900,338,-3.772731,50
16950,339,-4.449619,50
17000,340,-3.05705,50
17050,341,-3.711788,50
17100,342,-3.435829,50
17150,343,-1.487333,50
17200,344,-1.276931,50
17250,345,-4.072915,50
17300,346,-4.118293,50
17350,347,-3.169022,50
17400,348,-3.548999,50
17450,349,-3.987525,50
17500,350,-5.215257,50
17550,351,-5.179093,50
17600,352,-1.630248,50
17650,353,-3.327578,50
17700,354,-3.52657,50
17750,355,-3.466167,50
17800,356,-4.054223,50
17850,357,-2.465674,50
17900,358,-2.688122,50
17950,359,-2.50211,50
18000,360,-3.637154,50
18050,361,-4.417356,50
18100,362,-2.900542,50
18150,363,-1.87641,50
18200,364,-2.059758,50
18250,365,-5.943397,50
18300,366,-2.391192,50
18350,367,-5.219209,50
18400,368,-2.473026,50
18450,369,-3.564109,50
18500,370,-4.087911,50
18550,371,-3.894604,50
18600,372,-1.222507,50
18650,373,-3.037495,50
18700,374,-1.160714,50
18750,375,-2.566671,50
18800,376,-1.169158,50
18850,377,-2.655805,50
18900,378,-3.772412,50
18950,379,-1.37901,50
19000,380,-2.643725,50
19050,381,-1.64901,50
19100,382,-4.293787,50
19150,383,-3.195284,50
19200,384,-4.374709,50
19250,385,-4.407366,50
19300,386,-2.687787,50
19350,387,-1.598683,50
19400,388,-4.889303,50
19450,389,-3.543954,50
19500,390,-4.524,50
19550,391,-3.850952,50
19600,392,-2.477409,50
19650,393,-5.538841,50
19700,394,-2.206099,50
19750,395,-3.329267,50
19800,396,-4.789438,50
19850,397,-3.31959,50
19900,398,-2.409555,50
19950,399,-3.531102,50
20000,400,-1.658794,50
20050,401,-1.31522,50
20100,402,-3.378218,50
20150,403,-1.492655,50
20200,404,-1.103213,50
20250,405,-4.133025,50
20300,406,-3.400884,50
20350,407,-3.848492,50
20400,408,-5.082601,50
20450,409,-2.779975,50
20500,410,-2.468916,50
20550,411,-3.028867,50
20600,412,-3.184463,50
20650,413,-2.504032,50
20700,414,-3.978457,50
20750,415,-3.509953,50
20800,416,-2.908156,50
20850,417,-1.006498,50
20900,418,-2.095819,50
20950,419,-2.320792,50
21000,420,-1.863745,50
21050,421,-2.420075,50
21100,422,-2.431649,50
21150,423,-2.862676,50
21200,424,-3.643097,50
21250,425,-3.127969,50
21300,426,-5.757878,50
21350,427,-2.543676,50
21400,428,-2.118632,50
21450,429,-2.452306,50
21500,430,-2.539607,50
21550,431,-2.051706,50
21600,432,-1.128863,50
21650,433,-3.74119,50
21700,434,-4.091999,50
21750,435,-4.430268,50
21800,436,-2.775003,50
21850,437,-2.345869,50
21900,438,-4.514298,50
21950,439,-2.265586,50
22000,440,-4.833295,50
22050,441,-3.209213,50
22100,442,-3.152669,50
22150,443,-2.60595,50
22200,444,-2.392041,50
22250,445,-2.863451,50
22300,446,-2.944809,50
22350,447,-3.608249,50
22400,448,-3.60428,50
22450,449,-2.61791,50
22500,450,-3.710355,50
22550,451,-3.427427,50
22600,452,-1.441376,50
22650,453,-2.804799,50
22700,454,-2.400599,50
22750,455,-3.532122,50
22800,456,-2.658048,50
22850,457,-2.80368,50
22900,458,-0.916422,50
22950,459,-5.65871,50
23000,460,-2.996484,50
23050,461,-2.726638,50
23100,462,-3.378539,50
23150,463,-1.679434,50
23200,464,-2.88758,50
23250,465,-2.398538,50
23300,466,-2.309725,50
23350,467,-4.134467,50
23400,468,-3.188116,50
23450,469,-3.642956,50
23500,470,-4.236257,50
23550,471,-3.635594,50
23600,472,-3.012945,50
23650,473,-2.137922,50
23700,474,-2.279465,50
23750,475,-2.941184,50
23800,476,-5.006292,50
23850,477,-2.039276,50
23900,478,-4.780708,50
23950,479,-2.138204,50
24000,480,-2.311499,50
24050,481,-3.699903,50
24100,482,-1.448789,50
24150,483,-3.479034,50
24200,484,-2.592063,50
24250,485,-3.241789,50
24300,486,-1.916151,50
24350,487,-2.544399,50
24400,488,-3.952694,50
24450,489,-2.02669,50
24500,490,-2.904209,50
24550,491,-0.790444,50
24600,492,-2.936321,50
24650,493,-2.876462,50
24700,494,-5.791937,50
24750,495,-1.351648,50
24800,496,-3.081307,50
24850,497,-1.884015,50
24900,498,-3.148615,50
24950,499,-1.248421,50
25000,500,-3.230314,50
25050,501,-2.773073,50
25100,502,-1.786629,50
25150,503,-3.436201,50
25200,504,-2.557344,50
25250,505,-1.117361,50
25300,506,-3.602751,50
25350,507,-4.458798,50
25400,508,-2.788453,50
25450,509,-1.827391,50
25500,510,-1.705202,50
25550,511,-2.415289,50
25600,512,-3.777989,50
25650,513,-3.312973,50
25700,514,-1.039808,50
25750,515,-1.589036,50
25800,516,-2.243363,50
25850,517,-1.756499,50
25900,518,-1.517902,50
25950,519,-1.099385,50
26000,520,-2.846616,50
26050,521,-2.961743,50
26100,522,-2.056851,50
26150,523,-2.468232,50
26200,524,-3.318643,50
26250,525,-3.957343,50
26300,526,-2.369626,50
26350,527,-0.956935,50
26400,528,-3.615849,50
26450,529,-3.497334,50
26500,530,-3.576799,50
26550,531,-2.870178,50
26600,532,-3.778301,50
26650,533,-3.778552,50
26700,534,-1.365448,50
26750,535,-2.908884,50
26800,536,-3.279265,50
26850,537,-4.012485,50
26900,538,-2.950999,50
26950,539,-3.642438,50
27000,540,-1.676166,50
27050,541,-2.222807,50
27100,542,-3.960958,50
27150,543,-2.716926,50
27200,544,-1.457855,50
27250,545,-4.016785,50
27300,546,-3.119712,50
27350,547,-2.277278,50
27400,548,-2.640953,50
27450,549,-0.863725,50
27500,550,-2.948868,50
27550,551,-1.794149,50
27600,552,-1.161941,50
27650,553,-2.375449,50
27700,554,-1.717838,50
27750,555,-1.421869,50
27800,556,-3.709267,50
27850,557,-3.008683,50
27900,558,-3.554957,50
27950,559,-4.775482,50
28000,560,-2.28796,50
28050,561,-1.413077,50
28100,562,-1.969778,50
28150,563,-1.958064,50
28200,564,-3.146877,50
28250,565,-3.197532,50
28300,566,-3.012346,50
28350,567,-3.092055,50
28400,568,-3.369809,50
28450,569,-2.432173,50
28500,570,-2.80886,50
28550,571,-1.939886,50
28600,572,-2.063183,50
28650,573,-2.637191,50
28700,574,-2.269063,50
28750,575,-0.818929,50
28800,576,-4.401211,50
28850,577,-3.750742,50
28900,578,-2.137929,50
28950,579,-3.139564,50
29000,580,-1.770537,50
29050,581,-2.720544,50
29100,582,-2.833922,50
29150,583,-1.213515,50
29200,584,-0.771006,50
29250,585,-1.071523,50
29300,586,-5.015416,50
29350,587,-3.483594,50
29400,588,-2.533457,50
29450,589,-1.482947,50
29500,590,-3.047613,50
29550,591,-2.050487,50
29600,592,-3.063065,50
29650,593,-2.04747,50
29700,594,-2.837361,50
29750,595,-2.034006,50
29800,596,-1.996984,50
29850,597,-2.137463,50
29900,598,-3.12652,50
29950,599,-2.672225,50
30000,600,-3.53152,50
30050,601,-3.027785,50
30100,602,-2.912079,50
30150,603,-2.208708,50
30200,604,-2.017475,50
30250,605,-2.979693,50
30300,606,-1.904378,50
30350,607,-3.340356,50
30400,608,-2.16472,50
30450,609,-3.291513,50
30500,610,-2.134248,50
30550,611,-2.903525,50
30600,612,-0.773206,50
30650,613,-1.67602,50
30700,614,-2.57846,50
30750,615,-2.123532,50
30800,616,-3.904025,50
30850,617,-2.719202,50
30900,618,-3.3011,50
30950,619,-4.504968,50
31000,620,-2.360167,50
31050,621,-1.820737,50
31100,622,-3.077383,50
31150,623,-1.91704,50
31200,624,-1.968492,50
31250,625,-3.601871,50
31300,626,-3.563782,50
31350,627,-2.220522,50
31400,628,-3.443595,50
31450,629,-3.035413,50
31500,630,-3.624881,50
31550,631,-1.91537,50
31600,632,-3.31577,50
31650,633,-2.761288,50
31700,634,-2.417826,50
31750,635,-1.78515,50
31800,636,-1.369059,50
31850,637,-3.235758,50
31900,638,-2.803612,50
31950,639,-2.707372,50
32000,640,-2.301996,50
32050,641,-2.019599,50
32100,642,-4.620737,50
32150,643,-3.40237,50
32200,644,-3.192372,50
32250,645,-3.008831,50
32300,646,-1.382381,50
32350,647,-2.818694,50
32400,648,-2.52634,50
32450,649,-3.221122,50
32500,650,-1.731061,50
32550,651,-4.472066,50
32600,652,-3.544081,50
32650,653,-4.266828,50
32700,654,-0.904945,50
32750,655,-3.446969,50
32800,656,-4.529586,50
32850,657,-2.14845,50
32900,658,-1.536613,50
32950,659,-3.668591,50
33000,660,-1.389726,50
33050,661,-1.804705,50
33100,662,-1.851075,50
33150,663,-4.312121,50
33200,664,-3.51223,50
33250,665,-2.759468,50
33300,666,-2.513408,50
33350,667,-1.885619,50
33400,668,-2.908819,50
33450,669,-2.946786,50
33500,670,-1.902097,50
33550,671,-3.724027,50
33600,672,-1.739498,50
33650,673,-4.03957,50
33700,674,-1.702203,50
33750,675,-3.277332,50
33800,676,-1.778383,50
33850,677,-2.590497,50
33900,678,-2.349284,50
33950,679,-3.430429,50
34000,680,-3.563573,50
34050,681,-2.776822,50
34100,682,-4.497034,50
34150,683,-2.83151,50
34200,684,-4.486194,50
34250,685,-3.017411,50
34300,686,-1.970254,50
34350,687,-1.880686,50
34400,688,-2.474241,50
34450,689,-3.744538,50
34500,690,-1.847695,50
34550,691,-1.626826,50
34600,692,-4.288173,50
34650,693,-2.184703,50
34700,694,-3.022341,50
34750,695,-3.850585,50
34800,696,-3.20427,50
34850,697,-2.642173,50
34900,698,-2.461293,50
34950,699,-2.325203,50
35000,700,-2.773035,50
35050,701,-4.399598,50
35100,702,-2.464618,50
35150,703,-3.510114,50
35200,704,-3.307684,50
35250,705,-4.044741,50
35300,706,-2.741742,50
35350,707,-1.352766,50
35400,708,-2.616457,50
35450,709,-1.572403,50
35500,710,-1.546636,50
35550,711,-0.762654,50
35600,712,-2.528517,50
35650,713,-1.843891,50
35700,714,-1.763391,50
35750,715,-2.784619,50
35800,716,-1.921918,50
35850,717,-3.699211,50
35900,718,-2.494763,50
35950,719,-2.897187,50
36000,720,-3.590803,50
36050,721,-2.109085,50
36100,722,-1.254534,50
36150,723,-1.135869,50
36200,724,-2.620535,50
36250,725,-2.527987,50
36300,726,-1.620737,50
36350,727,-2.316372,50
36400,728,-1.973815,50
36450,729,-3.818459,50
36500,730,-3.58649,50
36550,731,-3.309869,50
36600,732,-2.81374,50
36650,733,-2.438006,50
36700,734,-1.228816,50
36750,735,-2.476596,50
36800,736,-3.831472,50
36850,737,-2.180657,50
36900,738,-2.966141,50
36950,739,-1.116268,50
37000,740,-1.992171,50
37050,741,-0.944821,50
37100,742,-2.899749,50
37150,743,-2.706799,50
37200,744,-2.07695,50
37250,745,-2.528059,50
37300,746,-3.62848,50
37350,747,-2.752664,50
37400,748,-0.96886,50
37450,749,-2.870892,50
37500,750,-1.701879,50
37550,751,-2.180399,50
37600,752,-3.438952,50
37650,753,-3.03372,50
37700,754,-2.089236,50
37750,755,-2.227534,50
37800,756,-1.499993,50
37850,757,-1.80874,50
37900,758,-1.791887,50
37950,759,-3.15177,50
38000,760,-2.983402,50
38050,761,-3.081907,50
38100,762,-1.105285,50
38150,763,-2.440755,50
38200,764,-1.244063,50
38250,765,-2.741477,50
38300,766,-1.544039,50
38350,767,-1.956688,50
38400,768,-2.486785,50
38450,769,-4.447424,50
38500,770,-1.78148,50
38550,771,-2.573978,50
38600,772,-1.919758,50
38650,773,-2.716906,50
38700,774,-1.989239,50
38750,775,-2.404843,50
38800,776,-5.237949,50
38850,777,-1.45959,50
38900,778,-2.454569,50
38950,779,-1.151206,50
39000,780,-2.674941,50
39050,781,-2.656848,50
39100,782,-2.045211,50
39150,783,-2.425836,50
39200,784,-3.100425,50
39250,785,-3.661068,50
39300,786,-1.708769,50
39350,787,-1.619366,50
39400,788,-1.594948,50
39450,789,-2.161049,50
39500,790,-3.070289,50
39550,791,-3.361234,50
39600,792,-2.186649,50
39650,793,-2.194981,50
39700,794,-2.618438,50
39750,795,-4.769098,50
39800,796,-1.916839,50
39850,797,-2.763828,50
39900,798,-2.591005,50
39950,799,-1.01979,50
40000,800,-2.816285,50
40050,801,-1.69596,50
40100,802,-3.605171,50
40150,803,-4.238561,50
40200,804,-2.538882,50
40250,805,-1.546297,50
40300,806,-3.400823,50
40350,807,-2.853547,50
40400,808,-1.313524,50
40450,809,-3.777869,50
40500,810,-1.326507,50
40550,811,-2.602762,50
40600,812,-3.49934,50
40650,813,-2.293419,50
40700,814,-3.173417,50
40750,815,-4.082588,50
40800,816,-2.786004,50
40850,817,-3.419794,50
40900,818,-2.847088,50
40950,819,-3.387152,50
41000,820,-6.108734,50
41050,821,-3.018583,50
41100,822,-3.480489,50
41150,823,-3.017276,50
41200,824,-1.835954,50
41250,825,-1.894122,50
41300,826,-2.430991,50
41350,827,-3.302136,50
41400,828,-2.551516,50
41450,829,-4.970336,50
41500,830,-2.347185,50
41550,831,-5.598474,50
41600,832,-2.564954,50
41650,833,-2.867286,50
41700,834,-2.158548,50
41750,835,-1.87202,50
41800,836,-2.682995,50
41850,837,-3.122954,50
41900,838,-1.774102,50
41950,839,-3.347768,50
42000,840,-2.087897,50
42050,841,-4.08404,50
42100,842,-1.175139,50
42150,843,-1.707022,50
42200,844,-1.932303,50
42250,845,-1.517386,50
42300,846,-2.901046,50
42350,847,-1.979836,50
42400,848,-2.291322,50
42450,849,-0.977006,50
42500,850,-0.672282,50
42550,851,-2.806026,50
42600,852,-1.658494,50
42650,853,-1.673629,50
42700,854,-1.671112,50
42750,855,-1.707798,50
42800,856,-5.429251,50
42850,857,-3.338334,50
42900,858,-4.982977,50
42950,859,-3.135848,50
43000,860,-1.205171,50
43050,861,-1.093533,50
43100,862,-3.238999,50
43150,863,-2.197355,50
43200,864,-3.354901,50
43250,865,-3.989993,50
43300,866,-2.953266,50
43350,867,-0.95181,50
43400,868,-1.913205,50
43450,869,-1.485077,50
43500,870,-2.570654,50
43550,871,-1.765464,50
43600,872,-3.220273,50
43650,873,-3.395516,50
43700,874,-2.912814,50
43750,875,-3.482626,50
43800,876,-2.212467,50
43850,877,-0.733898,50
43900,878,-2.61991,50
43950,879,-2.013615,50
44000,880,-2.739983,50
44050,881,-3.981597,50
44100,882,-1.888253,50
44150,883,-3.49786,50
44200,884,-4.385285,50
44250,885,-1.986191,50
44300,886,-2.181462,50
44350,887,-1.725224,50
44400,888,-4.665441,50
44450,889,-4.5999,50
44500,890,-2.283434,50
44550,891,-2.215437,50
44600,892,-1.426186,50
44650,893,-2.182463,50
44700,894,-3.212431,50
44750,895,-2.152521,50
44800,896,-1.474467,50
44850,897,-2.50517,50
44900,898,-1.504505,50
44950,899,-2.307861,50
45000,900,-1.525319,50
45050,901,-3.134503,50
45100,902,-4.726851,50
45150,903,-3.603565,50
45200,904,-2.120039,50
45250,905,-3.135838,50
45300,906,-1.150257,50
45350,907,-1.971081,50
45400,908,-3.56278,50
45450,909,-2.309297,50
45500,910,-3.355934,50
45550,911,-1.988081,50
45600,912,-3.142198,50
45650,913,-1.779407,50
45700,914,-2.88487,50
45750,915,-2.64489,50
45800,916,-4.687127,50
45850,917,-2.046789,50
45900,918,-2.804628,50
45950,919,-3.091783,50
46000,920,-1.413321,50
46050,921,-1.217568,50
46100,922,-2.653356,50
46150,923,-1.708044,50
46200,924,-2.666125,50
46250,925,-2.625388,50
46300,926,-1.866785,50
46350,927,-1.988263,50
46400,928,-3.041038,50
46450,929,-4.710847,50
46500,930,-3.821994,50
46550,931,-3.072605,50
46600,932,-3.052797,50
46650,933,-1.764036,50
46700,934,-3.797657,50
46750,935,-3.768287,50
46800,936,-2.58469,50
46850,937,-4.624826,50
46900,938,-2.034361,50
46950,939,-2.867165,50
47000,940,-3.123375,50
47050,941,-1.64141,50
47100,942,-1.903038,50
47150,943,-2.914459,50
47200,944,-2.734321,50
47250,945,-1.476682,50
47300,946,-5.22683,50
47350,947,-1.743541,50
47400,948,-4.018345,50
47450,949,-4.644495,50
47500,950,-1.983861,50
47550,951,-1.890404,50
47600,952,-1.334495,50
47650,953,-1.16515,50
47700,954,-2.992017,50
47750,955,-4.097381,50
47800,956,-2.845609,50
47850,957,-2.902229,50
47900,958,-2.089715,50
47950,959,-3.782438,50
48000,960,-4.176829,50
48050,961,-4.198531,50
48100,962,-4.206521,50
48150,963,-4.191688,50
48200,964,-1.840172,50
48250,965,-3.373481,50
48300,966,-2.026488,50
48350,967,-4.695917,50
48400,968,-4.916074,50
48450,969,-1.842068,50
48500,970,-1.609934,50
48550,971,-1.51461,50
48600,972,-2.088896,50
48650,973,-1.681234,50
48700,974,-1.80976,50
48750,975,-2.174878,50
48800,976,-1.858583,50
48850,977,-1.125649,50
48900,978,-1.478101,50
48950,979,-0.886257,50
49000,980,-2.060785,50
49050,981,-2.798894,50
49100,982,-2.49278,50
49150,983,-2.305069,50
49200,984,-1.862585,50
49250,985,-2.157702,50
49300,986,-1.710912,50
49350,987,-1.753942,50
49400,988,-2.68002,50
49450,989,-2.972847,50
49500,990,-3.644038,50
49550,991,-2.946554,50
49600,992,-2.96845,50
49650,993,-4.291441,50
49700,994,-2.324271,50
49750,995,-3.737292,50
49800,996,-2.237186,50
49850,997,-2.38707,50
49900,998,-3.803552,50
49950,999,-0.791157,50
50000,1000,-2.583995,50
