timestep,episode,return,length
50,1,-12.217498,50
100,2,-11.70844,50
150,3,-9.560876,50
200,4,-11.664551,50
250,5,-9.532363,50
300,6,-11.668155,50
350,7,-14.953687,50
400,8,-10.634463,50
450,9,-12.439222,50
500,10,-16.670326,50
550,11,-12.550944,50
600,12,-12.89519,50
650,13,-11.204882,50
700,14,-16.561473,50
750,15,-12.508028,50
800,16,-15.297549,50
850,17,-14.776398,50
900,18,-10.887308,50
950,19,-10.843944,50
1000,20,-20.42675,50
1050,21,-17.257299,50
1100,22,-18.387234,50
1150,23,-16.139667,50
1200,24,-12.218972,50
1250,25,-13.471059,50
1300,26,-16.656154,50
1350,27,-16.135179,50
1400,28,-16.418712,50
1450,29,-16.634376,50
1500,30,-11.538142,50
1550,31,-19.235671,50
1600,32,-14.034799,50
1650,33,-13.945564,50
1700,34,-14.70861,50
1750,35,-16.442935,50
1800,36,-18.141671,50
1850,37,-18.120926,50
1900,38,-17.564506,50
1950,39,-15.684316,50
2000,40,-13.031487,50
2050,41,-14.420237,50
2100,42,-10.66017,50
2150,43,-12.09542,50
2200,44,-11.006663,50
2250,45,-10.903271,50
2300,46,-7.029604,50
2350,47,-11.105547,50
2400,48,-6.785034,50
2450,49,-6.691647,50
2500,50,-8.297286,50
2550,51,-4.94673,50
2600,52,-13.286282,50
2650,53,-15.657993,50
2700,54,-7.986769,50
2750,55,-11.395718,50
2800,56,-8.026169,50
2850,57,-6.727011,50
2900,58,-9.471703,50
2950,59,-10.059466,50
3000,60,-8.704506,50
3050,61,-8.219912,50
3100,62,-9.96878,50
3150,63,-8.690282,50
3200,64,-7.162499,50
3250,65,-5.737781,50
3300,66,-7.784991,50
3350,67,-4.12798,50
3400,68,-9.478052,50
3450,69,-5.550633,50
3500,70,-10.523196,50
3550,71,-7.975858,50
3600,72,-7.972239,50
3650,73,-7.968672,50
3700,74,-7.80066,50
3750,75,-5.738532,50
3800,76,-9.59591,50
3850,77,-6.650955,50
3900,78,-7.320713,50
3950,79,-10.745508,50
4000,80,-7.011179,50
4050,81,-5.71225,50
4100,82,-4.832022,50
4150,83,-6.462052,50
4200,84,-6.171863,50
4250,85,-4.184005,50
4300,86,-7.821825,50
4350,87,-9.319605,50
4400,88,-5.847522,50
4450,89,-4.795321,50
4500,90,-8.699496,50
4550,91,-5.533558,50
4600,92,-7.566297,50
4650,93,-5.085831,50
4700,94,-7.419928,50
4750,95,-9.468789,50
4800,96,-4.52702,50
4850,97,-7.761672,50
4900,98,-5.256286,50
4950,99,-5.328731,50
5000,100,-5.032555,50
5050,101,-3.196512,50
5100,102,-2.954641,50
5150,103,-5.259271,50
5200,104,-6.722223,50
5250,105,-9.982494,50
5300,106,-10.156412,50
5350,107,-3.866152,50
5400,108,-2.743035,50
5450,109,-7.606109,50
5500,110,-6.786032,50
5550,111,-5.348445,50
5600,112,-4.520834,50
5650,113,-6.802769,50
5700,114,-3.642789,50
5750,115,-4.787574,50
5800,116,-12.196605,50
5850,117,-2.88008,50
5900,118,-6.643371,50
5950,119,-5.549363,50
6000,120,-3.528179,50
6050,121,-5.451667,50
6100,122,-11.979649,50
6150,123,-5.525924,50
6200,124,-5.241769,50
6250,125,-5.829103,50
6300,126,-5.112943,50
6350,127,-4.214361,50
6400,128,-10.203627,50
6450,129,-11.156855,50
6500,130,-4.639867,50
6550,131,-5.574197,50
6600,132,-8.731416,50
6650,133,-5.438621,50
6700,134,-6.009941,50
6750,135,-5.450537,50
6800,136,-3.844863,50
6850,137,-3.554821,50
6900,138,-11.922693,50
6950,139,-6.440978,50
7000,140,-2.172814,50
7050,141,-5.077743,50
7100,142,-4.270054,50
7150,143,-5.498068,50
7200,144,-13.26842,50
7250,145,-3.526956,50
7300,146,-8.350969,50
7350,147,-3.743136,50
7400,148,-3.514313,50
7450,149,-3.363267,50
7500,150,-4.245432,50
7550,151,-10.589146,50
7600,152,-4.457486,50
7650,153,-4.592122,50
7700,154,-4.740724,50
7750,155,-2.669018,50
7800,156,-8.277049,50
7850,157,-5.86634,50
7900,158,-3.666517,50
7950,159,-3.031048,50
8000,160,-7.794872,50
8050,161,-2.857992,50
8100,162,-8.813699,50
8150,163,-3.238363,50
8200,164,-6.831802,50
8250,165,-3.955901,50
8300,166,-9.842552,50
8350,167,-6.893864,50
8400,168,-12.446075,50
8450,169,-3.897301,50
8500,170,-4.873774,50
8550,171,-6.528226,50
8600,172,-6.757356,50
8650,173,-3.383197,50
8700,174,-7.301514,50
8750,175,-6.017423,50
8800,176,-5.350261,50
8850,177,-8.703705,50
8900,178,-3.999625,50
8950,179,-3.395985,50
9000,180,-5.019518,50
9050,181,-6.958113,50
9100,182,-3.677894,50
9150,183,-5.479553,50
9200,184,-2.759039,50
9250,185,-3.222173,50
9300,186,-5.226335,50
9350,187,-11.005408,50
9400,188,-6.006845,50
9450,189,-3.72756,50
9500,190,-11.419614,50
9550,191,-8.278006,50
9600,192,-5.115565,50
9650,193,-5.327747,50
9700,194,-2.998463,50
9750,195,-3.53259,50
9800,196,-4.796116,50
9850,197,-3.509454,50
9900,198,-2.353689,50
9950,199,-8.26739,50
10000,200,-3.759926,50
10050,201,-3.728996,50
10100,202,-3.049175,50
10150,203,-7.149777,50
10200,204,-4.685182,50
10250,205,-2.636548,50
10300,206,-3.486887,50
10350,207,-3.967194,50
10400,208,-4.080539,50
10450,209,-2.945753,50
10500,210,-1.883768,50
10550,211,-3.188843,50
10600,212,-5.154071,50
10650,213,-6.822797,50
10700,214,-2.719008,50
10750,215,-3.782273,50
10800,216,-3.791042,50
10850,217,-8.514062,50
10900,218,-4.729131,50
10950,219,-3.612633,50
11000,220,-4.10021,50
11050,221,-3.64397,50
11100,222,-4.488078,50
11150,223,-6.742352,50
11200,224,-6.152511,50
11250,225,-2.705167,50
11300,226,-7.399253,50
11350,227,-2.387665,50
11400,228,-2.081797,50
11450,229,-2.521777,50
11500,230,-7.211973,50
11550,231,-4.185572,50
11600,232,-3.017445,50
11650,233,-4.164031,50
11700,234,-2.923112,50
11750,235,-4.484129,50
11800,236,-3.629501,50
11850,237,-3.080965,50
11900,238,-2.747443,50
11950,239,-3.902226,50
12000,240,-3.271709,50
12050,241,-5.444484,50
12100,242,-2.696001,50
12150,243,-3.288853,50
12200,244,-4.014905,50
12250,245,-4.204038,50
12300,246,-8.784104,50
12350,247,-3.17524,50
12400,248,-2.736566,50
12450,249,-4.152844,50
12500,250,-2.319698,50
12550,251,-2.911085,50
12600,252,-8.741918,50
12650,253,-4.12134,50
12700,254,-3.456149,50
12750,255,-3.841659,50
12800,256,-4.494298,50
12850,257,-7.119299,50
12900,258,-5.977639,50
12950,259,-3.643125,50
13000,260,-2.896843,50
13050,261,-4.566076,50
13100,262,-6.201802,50
13150,263,-5.203143,50
13200,264,-3.747967,50
13250,265,-4.361328,50
13300,266,-2.710484,50
13350,267,-3.845041,50
13400,268,-2.434504,50
13450,269,-2.612718,50
13500,270,-3.848675,50
13550,271,-3.657909,50
13600,272,-2.234314,50
13650,273,-2.406891,50
13700,274,-2.751412,50
13750,275,-5.890931,50
13800,276,-2.232062,50
13850,277,-1.925951,50
13900,278,-3.688821,50
13950,279,-2.899331,50
14000,280,-5.315683,50
14050,281,-3.561981,50
14100,282,-4.058947,50
14150,283,-4.477083,50
14200,284,-5.517828,50
14250,285,-3.62474,50
14300,286,-4.627606,50
14350,287,-4.90376,50
14400,288,-3.029304,50
14450,289,-2.726726,50
14500,290,-4.291194,50
14550,291,-3.209866,50
14600,292,-7.723754,50
14650,293,-2.849325,50
14700,294,-3.074901,50
14750,295,-1.906362,50
14800,296,-5.973245,50
14850,297,-3.727971,50
14900,298,-2.219403,50
14950,299,-6.031573,50
15000,300,-2.271831,50
15050,301,-3.901416,50
15100,302,-3.882903,50
15150,303,-2.267358,50
15200,304,-3.411892,50
15250,305,-3.393294,50
15300,306,-4.433323,50
15350,307,-2.557314,50
15400,308,-2.983968,50
15450,309,-4.774178,50
15500,310,-3.145932,50
15550,311,-5.74342,50
15600,312,-3.520068,50
15650,313,-1.844912,50
15700,314,-2.887745,50
15750,315,-2.708123,50
15800,316,-2.942952,50
15850,317,-4.777932,50
15900,318,-3.938625,50
15950,319,-2.062163,50
16000,320,-3.713064,50
16050,321,-5.107249,50
16100,322,-5.985762,50
16150,323,-4.038161,50
16200,324,-3.296935,50
16250,325,-2.846157,50
16300,326,-2.732976,50
16350,327,-7.592189,50
16400,328,-4.898111,50
16450,329,-2.377256,50
16500,330,-5.1446,50
16550,331,-2.921632,50
16600,332,-2.760855,50
16650,333,-4.608668,50
16700,334,-2.48505,50
16750,335,-2.56663,50
16800,336,-4.159032,50
16850,337,-4.823221,50
16900,338,-2.53726,50
16950,339,-1.652272,50
17000,340,-4.355808,50
17050,341,-5.440352,50
17100,342,-3.011719,50
17150,343,-4.460635,50
17200,344,-2.938895,50
17250,345,-1.672164,50
17300,346,-1.716127,50
17350,347,-5.291818,50
17400,348,-3.541541,50
17450,349,-2.473328,50
17500,350,-3.957273,50
17550,351,-4.479418,50
17600,352,-2.28941,50
17650,353,-2.60703,50
17700,354,-2.705166,50
17750,355,-1.92124,50
17800,356,-2.74937,50
17850,357,-1.779961,50
17900,358,-2.648887,50
17950,359,-4.987085,50
18000,360,-4.978316,50
18050,361,-1.862356,50
18100,362,-2.475792,50
18150,363,-4.980362,50
18200,364,-2.331813,50
18250,365,-2.606402,50
18300,366,-4.228486,50
18350,367,-4.293708,50
18400,368,-3.724696,50
18450,369,-2.612112,50
18500,370,-3.343465,50
18550,371,-2.77078,50
18600,372,-3.890806,50
18650,373,-3.104791,50
18700,374,-2.996304,50
18750,375,-3.882545,50
18800,376,-2.690092,50
18850,377,-3.457516,50
18900,378,-2.167827,50
18950,379,-1.671638,50
19000,380,-4.68636,50
19050,381,-1.895907,50
19100,382,-4.430517,50
19150,383,-3.958502,50
19200,384,-4.434722,50
19250,385,-3.738657,50
19300,386,-3.533227,50
19350,387,-3.00607,50
19400,388,-3.351472,50
19450,389,-3.50427,50
