method,seed,return,final_distance,min_distance,success,time_to_target,control_effort,length
TD3,0,-2.5944939245220247,0.014215281314096646,0.006907057086918605,0.9666666666666667,12.233333333333333,0.08476465711119055,50.0
TD3,1,-2.5463054607941507,0.009582058332664156,0.007446490511904453,1.0,11.433333333333334,0.08754945238151235,50.0
TD3,2,-2.206846213065901,0.007758866046840654,0.005147347144621465,1.0,10.433333333333334,0.0758762637426081,50.0
DDPG,0,-2.3606719062489843,0.011328536600065046,0.005986291696736896,1.0,10.633333333333333,0.08500411714992946,50.0
DDPG,1,-2.5067624952995056,0.007996319305982994,0.004350120796936168,1.0,11.233333333333333,0.08822254207947852,50.0
DDPG,2,-2.3342751669590576,0.01115942296629691,0.0073858076749084515,1.0,10.2,0.08093897282557783,50.0
random,0,-12.745428672645826,0.1791254627659645,0.06148237576972071,0.1,22.714285714285715,0.6485055469026167,50.0
random,1,-13.780486447821861,0.1524242481213272,0.07950282635247909,0.1,25.8,0.6707923064834129,50.0
random,2,-11.919433780477892,0.17637637006570478,0.04771105384017713,0.03333333333333333,22.88888888888889,0.6614151535321143,50.0
